system,n_orbit_options,partition,L_orbit,top_a,top_e,top_i,top_o,top_O,top_M0,ranking,incl_group
2,1,"[[0, 1, 5], [2, 3, 4], [6, 7, 8]]",0.032866641,2.825213310370763,0.089285714,1.1507898532514678,-3.216975483,-0.283890701,0.4573741923452076,1,med
3,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000805537,2.7883007687603425,0.084685041,1.181807239,-1.871679112,-1.852796361,1.6063825469853144,2,med
3,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000226351,2.33448998,0.018982403,1.1967225527840153,-2.904158314,-1.830288379,-0.186672679,2,med
3,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.018386577,2.751646724988411,0.04714421,1.1983270053854969,1.0038564381688408,-1.791882957,-1.283782769,2,med
3,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.001775421,2.8437643600634153,0.089285714,1.1968826619461412,1.650883522123913,-1.776830349,-1.774042743,0,med
3,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.000473137,2.6791419410818706,0.097594654,1.7713651681150466,4.780605865,1.3706686924061304,-2.608364128,0,med
3,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.028781241158520005,2.33448998,0.018982403,1.1967225527840153,-2.904158314,-1.830288379,-0.186672679,0,med
3,1,"[[0, 7, 8], [1, 2, 6], [3, 4, 5]]",0.001951622,3.1096123013293764,0.089397252,1.2366748083281762,-0.138661805,-1.854693581,0.011954319086446952,1,med
3,1,"[[0, 7, 8], [1, 2, 6], [3, 4, 5]]",0.000401181,2.9185804713764796,0.099231743,1.8011055048174358,-4.022064416,1.5705153386123096,0.24764048544791517,1,med
3,1,"[[0, 7, 8], [1, 2, 6], [3, 4, 5]]",0.021477445069919998,2.33448998,0.018982403,1.1967225527840153,-2.904158314,-1.830288379,-0.186672679,1,med
4,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.003186753,4.6182686872236225,0.096685431,1.122149154166028,1.4711039324615067,0.7615855433514976,-0.174386645,1,med
4,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.005184375,1.7534303805209557,0,1.0906741012923848,1.540886752763976,0.7381387149415389,-1.353060084,1,med
4,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.007872979,1.2248369614565158,0.028571428571428567,1.0855619930194946,4.608572785368418,0.718179306,-5.45916045,1,med
4,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.002831846,4.6182686872236225,0.096685431,1.122149154166028,1.4711039324615067,0.7615855433514976,-0.174386645,0,med
4,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.008631233,1.2970936610657224,0.0975,1.7727776814211806,1.644691320384226,0.7302352187978962,-1.125455867,0,med
4,2,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.006544287,0.8470488934309535,0.049156144,0,-5.46589351,3.141592653589793,-1.567387172,0,med
5,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000378607,0.9635745419893638,0.066897748,1.9890623950525304,-1.111507014,-1.400290133,-2.680397406,0,med
5,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000105398,2.956343846951837,0.097431949,1.131677045981986,-0.463157431,1.5992552514371428,-0.993122217,0,med
5,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000937881,3.2267120725272718,0.096378898,1.0947059728173731,-0.036015802,1.6198274164342603,-1.240659656,0,med
5,2,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.000145869,1.035059201427676,0.090138782,1.170649400959611,-2.038475618,1.677025554643819,-3.476737629,1,med
5,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.000109622,2.9185804713764796,0.086620949,1.1312205997086835,-2.734901718,1.7009241365024506,0.9126975511064391,1,med
5,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.001577633,2.6791419410818706,0.097594654,1.9018929198064056,-4.050466525,-2.048275898,0.19041910499684234,1,med
6,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.001826509,1.3312688710062528,0.055555556,1.0160530466290334,-3.026757971,0.054716213593030895,-2.045272632,0,med
6,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.008328111,3.9175422276655265,0.090437892,0.980795617,3.008370351834129,3.105687547183417,-1.106645668,0,med
6,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.00657231,1.078181812193014,0.1,2.1128882589756355,4.320195934391581,2.9631931193199827,-5.176714343,0,med
6,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.000557133,1.4920169939822088,0.097474276,1.2451177060741483,4.528503110040647,0.33656811633264316,-3.534446586,1,med
6,2,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.005717352,0.8662285343576893,0.04729413,0.8342462117810678,-4.346400391,-0.419568715,-1.976304548,1,med
6,1,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.000122227,3.9175422276655265,0.090437892,0.980795617,3.008370351834129,3.105687547183417,-1.106645668,1,med
7,,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.001419484,1.6564911550705599,0.022222222222222227,1.0360341038569383,1.787359519,-0.296087159,-1.435284858,0,med
7,,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.010231565,2.159273017265854,0.058494069121997165,1.0205116945366004,0.4123985338180063,2.799315063389251,-3.528101835,0,med
7,,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.004305897,1.123982295600042,0.02,1.9704090675539605,0.19815710254478924,-0.200278977,-4.678549021,0,med
7,,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",8.201537685000004e-05,1.394328526954918,0.099380799,1.706105619525403,1.7537677969550207,-0.164660689,-0.946840405,1,med
7,,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",0.001199144,0.8052698582205136,0.082462113,2.331113953354771,-1.812358199,1.854368703,-4.53441739,1,med
7,,"[[0, 1, 8], [2, 6, 7], [3, 4, 5]]",5.062484196e-06,2.159273017265854,0.058494069121997165,1.0205116945366004,0.4123985338180063,2.799315063389251,-3.528101835,1,med
8,,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.10137644652221997,4.834413724298748,0.096685431,0.7839534626075656,-4.461718129,-1.188781108,2.636917368,0,med
8,,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.008959555,0.8052698582205662,0.04472136,0.8484526372591229,-2.486191723,1.924420774,-4.772300393,0,med
8,,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.002228176,1.2887534306553237,0.01,0.8585217644408033,-0.257894253,-1.211156068,-3.698108512,0,med
8,,"[[0, 2, 7], [1, 6, 8], [3, 4, 5]]",0.084423673,4.834413724298748,0.096685431,0.7839534626075656,-4.461718129,-1.188781108,2.636917368,1,med
8,,"[[0, 2, 7], [1, 6, 8], [3, 4, 5]]",2.5315879680000024e-05,1.232561512790946,0.099231743,0.9864639394482957,-4.611183164,-0.947333027,0.210923326,1,med
8,,"[[0, 2, 7], [1, 6, 8], [3, 4, 5]]",0.001967513,0.800754868,0.1,0.9049541263769673,-0.474465431,-1.737954203,-5.15868407,1,med
9,,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",6.913891335999994e-05,1.0593905014606968,0.098488578,1.5890906237012155,-3.283922609,-1.576597083,-1.077422985,0,med
9,,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.00020534,1.6104538321470243,0.011111111111111113,1.092202946513612,-1.462835497,1.9100147489366455,-3.08576422,0,med
9,,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.11154941001749999,3.4254959070034587,0.095195657,1.088923695,2.048753427,-1.202772565,-3.455755712,0,med
9,,"[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.000258141,1.194662004730062,0.099683172,1.3883116695503508,-2.799905031,-1.278646742,-1.453690456,1,med
