system,n_orbit_options,xyzs,planet,a,e,i,o,O,M0,incl_group
9,,"[[0.46945012202778996, 1.1556700276442526, -0.35401076626159766], [-1.222841528225251, -0.06341385386573425, 0.47301223569288464], [0.8241971679667426, -0.9716533386958766, -0.15930672323442996]]",3,3.7155202614788982,0.074283026,0.3564047899281686,0.8605044398801108,5.041612717823303,4.210773824166696,low
10,,"[[0.6785997319895317, 0.17225452272415434, 0.2489592300648446], [0.36893600268376525, -0.546841014964584, 0.07222385247165083], [-0.3416239239370745, -0.5777028492066272, -0.1899444447462481]]",1, 3.850218252961562, 0.010285833473172912, 0.4950254536674411, 5.947584835837536, 0.8404221076322321, 1.6028592018140648,low
10,,"[[-1.4245954052692484, -0.7736552000594653, -0.5788425153230592], [0.6080220347304325, -1.4399215073546672, 0.04873053581404663], [1.3894174235742656, 0.6128881516533807, 0.558019861672964]]",2, 1.6295557548939317, 0.015661990720575437, 0.4950254536674411, 4.811765001029553, 0.8404221076322321, 0.2519960359159148,low
10,,"[[-2.9946950724556545, -1.9796783069369934, -1.3109836663183405], [-1.9122970715493144, -3.0560052248341485, -1.0419326837526952], [-0.45322221118607386, -3.5386326864843096, -0.5821268294885028]]",3, 0.5375456487722277, 0.013313138153972027, 0.4950254536674411, 5.828031076039552, 0.8404221076322321, 1.4154396948003005,low
1,,"[[-3.4852399777387255, -1.2621917530160702, -3.1432039478551173], [-3.6552005587273766, -2.2622713281232985, -2.2255969067121466], [-3.489566473286529, -3.0670506084483824, -1.1158595106866553]]",1,4.615822660444791,0.050102258,1.0472,2.3896630391056095,3.9997341918898046,3.037191084925631,med
1,,"[[-1.6669420563685937, -1.7862695442770888, -0.1921005280540721], [-0.6925496996332593, -2.0757840899108566, 1.4129513528319517], [0.6888799249387336, -1.1844244795194836, 2.2542569282168916]]",2,2.462264277245404,0.072877959,1.0472,4.610527492216533,3.9997341918898046,1.436332821154692,med
1,,"[[-1.8446597347239686, -1.9549758191741602, -0.14884613311853317], [-0.6952254564870178, -2.1032883278569274, 1.4438969048599983], [0.8094225393846514, -1.066995874466382, 2.278458734328811]]",3,2.8634324981534824,0.08864616,1.0472,0.873442438,3.9997341918898046,5.4833510985815375,med
2,,"[[-1.2931635669243842, 0.36610832521184156, -0.12710775807160596], [0.33124562613009906, -0.7081970277284588, -1.1207633492327047], [0.7910646447084999, 0.25647926404393145, 0.9674708815130081]]",1,1.324662030406731,0.052902079,1.13446,0.8942886036117484,5.956377183475464,2.2722765323654923,med
2,,"[[0.8693329289063219, -0.2953827510174962, -0.024973252644285706], [-0.9088086837198007, 0.17250251678156867, -0.2760645503536222], [0.8213089202760314, -0.01638107108985591, 0.47322757696655326]]",2,0.9406604641627448,0.029828331,1.13446,0.5716084983336368,5.956377183475464,5.714683724530217,med
2,,"[[-2.3636191087107803, 0.18940693679467416, -1.2336498298682037], [-1.2147322159694576, -0.7330485657286794, -2.331100092041279], [0.5174389373199789, -1.3254171149233325, -2.336944395655539]]",3,2.631802498,0.040775683,1.13446,1.684006603,5.956377183475464,1.9167628528598355,med
3,,"[[-0.8848351046308504, -2.663804533807831, 0.41028128217708326], [-0.15893115158092758, -2.608484859038906, -1.244153200340099], [0.610802150492151, -1.569390577757112, -2.424058664641398]]",1,2.8108210793044934,0.051081382,1.18682,1.1863667512887006,1.307238133522965,1.6982159818680285,med
3,,"[[0.5518063159121905, 2.2177583822561044, 0.17571612021862032], [-0.32341423588852736, 1.4607761893437736, 1.7599843880044723], [-0.9575685523740022, -0.414464081444163, 2.0108340375890226]]",2,2.2055691585585917,0.046551821,1.18682,4.015968520785465,1.307238133522965,2.2827573824087968,med
3,,"[[-0.9010766034855849, -2.3946776832798373, 0.5973449680454535], [-0.22844322815687346, -2.495153480702468, -1.0851150330910944], [0.5802106245236882, -1.3346757113412069, -2.2427617070771584]]",3,2.506742500779418,0.076980153,1.18682,0.6149591878911114,1.307238133522965,2.1570288299662908,med
4,,"[[-0.2628532517842355, 2.148079686533823, 3.449567804304147], [-1.4685512739997593, 1.0751506265844932, 3.574674502442531], [-2.484035395391876, -0.07790464301019748, 3.167410179221324]]",1,4.329050214211248,0.071542478,1.09956,1.8820246042886797,0.746102825,5.7380241106142424,med
4,,"[[1.176259451579625, 1.2734892437344412, 0.27664997101340305], [-0.507583563226644, 0.6356734917715001, 1.561736200360649], [-1.392989506114819, -0.9996313193761316, 0.40761605791552974]]",2,1.7686639264275132,0.008064782,1.09956,1.5617839878335618,0.746102825,4.913978434618786,med
4,,"[[0.8948893460099587, 0.23474240851347564, -0.7717717564676924], [-0.2878366254493341, 0.5184310725461985, 1.1299356035376709], [-0.5409933229528122, -0.9019568104028317, -0.5515289412405253]]",3,1.2295174018055832,0.038593847,1.09956,4.817668653065516,0.746102825,0.6055602524945015,med
5,,"[[-0.4010003120314786, 0.7275824516669596, -0.6871308082348062], [0.2824554923300857, -0.8159685340477625, 0.40753365790763146], [-0.31387105053474135, 0.9070543094297182, -0.48946192958308576]]",1,1.031136310400604,0.06586858,1.0821,1.343907669278097,4.758252472844026,2.5233473212514466,med
5,,"[[1.2026368087821429, -0.13641215306454488, 2.1665815496226775], [0.8586731976685184, 1.6625061986862473, 1.777358655326063], [0.11639249930032507, 2.64076454917158, 0.4152055244829053]]",2,2.4754394296921327,0.075154356,1.0821,6.193713059699979,4.758252472844026,1.426115360910161,med
